00-0036212,Tua,Tagovailoa,QB,2867,19,7,17,49,0,3,0,0,0,1073
00-0036223,Jonathan,Taylor,RB,0,0,0,303,1431,11,2,18,136,1,1082
00-0036232,Harrison,Bryant,TE,0,0,0,0,0,0,0,9,86,0,1086
00-0036244,Colby,Parkinson,TE,0,0,0,0,0,0,0,30,294,1,1093
00-0036251,Zack,Moss,RB,0,0,0,74,242,2,2,23,187,1,1099
00-0036252,Michael,Pittman,WR,0,0,0,0,0,0,0,69,808,3,1100
00-0036254,Collin,Johnson,WR,0,0,0,0,0,0,0,1,6,0,1102
00-0036259,Jauan,Jennings,WR,0,0,0,0,0,0,0,77,975,6,1106
00-0036261,Brandon,Aiyuk,WR,0,0,0,0,0,0,0,25,374,0,1108
00-0036264,Jordan,Love,QB,3389,25,11,25,83,1,3,0,0,0,1110
00-0036268,Laviska,Shenault,WR,0,0,0,1,1,0,0,5,36,0,1114
00-0036275,D'Andre,Swift,RB,0,0,0,253,959,6,1,42,386,0,1120
00-0036290,Cole,Kmet,TE,0,0,0,0,0,0,0,47,474,4,1132
00-0036297,Darrynton,Evans,RB,0,0,0,3,3,0,0,0,0,0,1138
00-0036309,Darnell,Mooney,WR,0,0,0,0,0,0,0,64,992,5,1147
00-0036322,Justin,Jefferson,WR,22,0,0,1,3,0,0,103,1533,10,1156
00-0036328,Antonio,Gibson,RB,0,0,0,120,538,1,2,23,206,0,1161
00-0036329,Ashtyn,Davis,SS,0,0,0,1,21,0,0,0,0,0,1162
00-0036331,Devin,Duvernay,WR,0,0,0,4,3,0,0,11,79,0,1163
00-0036332,Josiah,Deguara,TE,0,0,0,0,0,0,0,3,14,0,1164
00-0036345,K.J.,Osborn,WR,0,0,0,0,0,0,0,7,57,1,1176
00-0036355,Justin,Herbert,QB,3870,23,3,69,306,2,2,0,0,0,1183
00-0036358,CeeDee,Lamb,WR,0,0,0,14,70,0,0,101,1194,6,1185
00-0036360,Clyde,Edwards-Helaire,RB,0,0,0,13,46,0,0,3,24,0,1186
00-0036370,Joshua,Kelley,RB,0,0,0,1,2,0,0,0,0,0,1194
00-0036387,Jalen,Reagor,WR,0,0,0,3,-3,0,0,7,100,0,1204
00-0036389,Jalen,Hurts,QB,2903,18,5,150,630,14,4,0,0,0,1206
00-0036407,Jerry,Jeudy,WR,0,0,0,0,0,0,0,90,1229,4,1220
00-0036410,Tee,Higgins,WR,0,0,0,0,0,0,0,73,911,10,1223
00-0036414,Cam,Akers,RB,0,0,0,104,444,2,1,14,68,3,1227
00-0036415,Van,Jefferson,WR,0,0,0,0,0,0,0,24,276,2,1228
00-0036422,Adam,Trautman,TE,0,0,0,0,0,0,0,13,188,2,1235
00-0036425,DeeJay,Dallas,RB,0,0,0,9,49,0,0,3,11,1,1237
00-0036427,Tyler,Johnson,WR,0,0,0,0,0,0,0,26,291,1,1238
00-0036429,Charlie,Woerner,TE,0,0,0,0,0,0,0,7,46,0,1240
00-0036438,Stephen,Sullivan,TE,0,0,0,0,0,0,0,0,0,0,1245
00-0036442,Joe,Burrow,QB,4918,43,9,42,201,2,2,0,0,0,1248
00-0036450,Ke'Shawn,Vaughn,RB,0,0,0,2,4,0,0,0,0,0,1252
00-0036463,Chris,Blair,WR,0,0,0,0,0,0,0,1,17,0,1254
00-0036497,Tim,Jones,WR,0,0,0,0,0,0,0,3,41,0,1263
00-0036510,Kenny,Yeboah,TE,0,0,0,0,0,0,0,5,47,1,1270
00-0036527,D.J.,Turner,WR,0,0,0,5,33,1,0,16,158,1,692
00-0036534,Shane,Zylstra,TE,0,0,0,0,0,0,0,1,22,0,1274
00-0036550,Rashod,Bateman,WR,0,0,0,0,0,0,0,45,756,9,1279
00-0036554,Nico,Collins,WR,0,0,0,0,0,0,0,68,1006,7,1283
00-0036555,Chuba,Hubbard,RB,0,0,0,250,1195,10,1,43,171,1,1284
00-0036556,Brevin,Jordan,TE,0,0,0,0,0,0,0,2,7,0,1285
00-0036563,Deommodore,Lenoir,CB,0,0,0,0,0,0,0,0,0,0,1291
00-0036590,Quintin,Morris,TE,0,0,0,0,0,0,0,5,36,1,1304
00-0036613,Jaylen,Waddle,WR,0,0,0,4,12,0,0,58,744,2,1311
00-0036620,D'Wayne,Eskridge,WR,0,0,0,0,0,0,0,3,44,0,1318
00-0036626,Dyami,Brown,WR,0,0,0,3,26,0,0,30,308,1,1324
00-0036628,John,Bates,TE,0,0,0,0,0,0,0,8,84,0,1326
00-0036630,Tylan,Wallace,WR,0,0,0,0,0,0,0,11,193,1,1328
00-0036635,Ihmir,Smith-Marsette,WR,0,0,0,0,0,0,0,0,0,0,1332
00-0036637,Noah,Gray,TE,0,0,0,1,-4,0,0,40,437,5,1334
00-0036640,Zach,Davidson,TE,0,0,0,0,0,0,0,1,5,0,1336
00-0036646,Simi,Fehoko,WR,0,0,0,0,0,0,0,6,106,0,1341
00-0036670,Jermar,Jefferson,RB,0,0,0,6,22,0,0,1,10,0,1359
00-0036727,Adam,Prentice,FB,0,0,0,0,0,0,0,0,0,0,1377
00-0036741,Jack,Stoll,TE,0,0,0,0,0,0,0,2,10,0,1380
00-0036754,Brock,Wright,TE,0,0,0,0,0,0,0,13,100,2,1382
00-0036825,Feleipe,Franks,TE,0,0,0,0,0,0,0,1,12,0,1395
00-0036841,Austin,Trammell,WR,0,0,0,0,0,0,0,2,40,0,1399
00-0036842,Kene,Nwangwu,RB,0,0,0,0,0,0,0,0,0,0,1400
00-0036849,Tutu,Atwell,WR,0,0,0,2,7,0,0,42,562,0,1404
00-0036862,Ben,Skowronek,WR,0,0,0,0,0,0,0,5,69,0,1415
00-0036875,Rhamondre,Stevenson,RB,0,0,0,207,801,7,6,33,168,1,1425
00-0036876,Kylen,Granson,TE,0,0,0,0,0,0,0,14,182,0,1426
00-0036877,Jaelon,Darden,WR,0,0,0,0,0,0,0,1,6,0,1427
00-0036880,Penei,Sewell,T,0,0,0,0,0,0,0,0,0,0,1430
00-0036887,Luke,Farrell,TE,0,0,0,0,0,0,0,12,67,0,1436
00-0036893,Najee,Harris,RB,0,0,0,263,1043,6,0,36,283,0,1439
00-0036894,Pat,Freiermuth,TE,0,0,0,0,0,0,0,65,653,7,1440
00-0036898,Davis,Mills,QB,212,0,0,3,11,0,0,0,0,0,1444
00-0036900,Ja'Marr,Chase,WR,0,0,0,3,32,0,0,127,1708,17,1446
00-0036906,Khalil,Herbert,RB,0,0,0,36,130,1,0,10,25,0,1452
00-0036912,DeVonta,Smith,WR,0,0,0,1,1,0,0,68,833,8,1455
00-0036913,Kadarius,Toney,WR,0,0,0,2,-4,0,0,0,0,0,1456
00-0036919,Kenneth,Gainwell,RB,0,0,0,75,290,1,0,16,116,0,1462
00-0036924,Michael,Carter,RB,0,0,0,35,131,1,0,11,57,0,1466
00-0036928,Kyle,Trask,QB,5,0,0,5,-4,0,0,0,0,0,1469
00-0036945,Justin,Fields,QB,1106,5,1,62,289,5,4,0,0,0,1485
00-0036955,Terrace,Marshall,WR,0,0,0,0,0,0,0,3,41,0,1493
00-0036963,Amon-Ra,St.Brown,WR,7,1,0,2,6,0,0,115,1263,12,1499
00-0036970,Kyle,Pitts,TE,0,0,0,0,0,0,0,47,602,4,1504
00-0036971,Trevor,Lawrence,QB,2045,11,7,26,119,3,0,0,0,0,1505
00-0036972,Mac,Jones,QB,1672,8,8,28,92,1,1,0,0,0,1506
00-0036973,Travis,Etienne,RB,0,0,0,150,558,2,1,39,254,0,1507
00-0036980,Elijah,Moore,WR,0,0,0,1,1,0,0,61,538,1,1514
00-0036984,Trey,Sermon,RB,0,0,0,56,159,2,0,16,99,0,1518
00-0036988,Josh,Palmer,WR,0,0,0,0,0,0,0,39,584,1,1522
00-0036990,Divine,Deablo,MLB,0,0,0,0,0,0,0,1,34,0,1524
00-0036997,Javonte,Williams,RB,0,0,0,139,513,4,2,52,346,0,1530
00-0037004,Hunter,Long,TE,0,0,0,0,0,0,0,7,60,0,1537
00-0037005,Tommy,Tremble,TE,0,0,0,0,0,0,0,23,234,2,1538
00-0037012,Trey,Lance,QB,266,0,1,11,41,0,0,0,0,0,1545
00-0037077,Sam,Howell,QB,24,0,1,1,2,0,0,0,0,0,1565
00-0037085,Tyler,Badie,RB,0,0,0,11,86,0,0,3,-2,0,1573
00-0037086,Grant,Calcaterra,TE,0,0,0,0,0,0,0,24,298,1,1574
00-0037091,Bo,Melton,WR,0,0,0,8,54,0,0,8,91,0,1577
00-0037093,Dareke,Young,WR,0,0,0,0,0,0,0,0,0,0,1579
00-0037120,Tyler,Goodson,RB,0,0,0,32,153,1,0,11,61,1,1588
00-0037129,Josh,Blackwell,CB,0,0,0,0,0,0,0,0,0,0,1590
00-0037132,Britain,Covey,WR,0,0,0,0,0,0,0,7,34,0,1592
00-0037156,Irvin,Charles,WR,0,0,0,0,0,0,0,0,0,0,1601
00-0037197,Isiah,Pacheco,RB,0,0,0,83,310,1,0,12,79,0,1618
00-0037207,Mike,Caliendo,G,0,0,0,0,0,0,0,1,5,0,1622
